Recipe Title,Serving Size,Total Preparation Time (min),Ingredients,Steps,Total Calories (cal) Per Serving,Protein (g) Per Serving,Carbohydrates (g) Per Serving,Fat (g) Per Serving,Fiber (g) Per Serving,Sodium (mg) Per Serving,Sugar (g) Per Serving,Total Calories (cal),Total Protein (g),Total Carbohydrates (g),Total Fat (g),Total Fiber (g),Total Sodium (mg),Total Sugar (g),Cuisine Tags,Meal Type Tags,Equipment Tags,Photo URL,Source URL,Healthier Changes,Data Notes
Baked French Toast,8,60,"5 large eggs, slightly beaten; 1/4 cup sugar; 1/4 tsp ground nutmeg; 2/3 cup orange juice; 1/3 cup half-and-half cream; 1/2 tsp vanilla; 1 loaf (16 oz) Italian bread, cut into 1-inch slices","Whisk eggs, sugar, nutmeg, orange juice, half-and-half, and vanilla in a medium bowl. Dip bread slices into the mixture and arrange in a large glass baking dish. Pour any remaining mixture over the bread. Cover and refrigerate overnight. Bake before serving.",186,10,14.1,9.7,1.3,274,6.5,1489,80,112.9,77.3,10.3,2192,51.7,American,Breakfast,Oven,"https://source.unsplash.com/400x300/?baked+french+toast,food",www.cookbooks.com/Recipe-Details.aspx?id=93889,"Keep, generally acceptable with normal portion control","Original source content appears truncated. Bread was moved from the steps into the ingredients for consistency. Serving size, prep time, and nutrition remain estimated from the source preview."
Banana Omelet,2,25,"3 tbsp butter; 4 bananas, sliced; 6 eggs, separated; 1/2 tsp salt; dash cayenne pepper; 1/4 cup milk; 2 tbsp chopped parsley","Melt the butter in a skillet and saute the bananas for about 5 minutes, turning frequently. Remove from the pan and set aside. Beat the egg yolks with the salt, cayenne pepper, and milk. Beat the egg whites until stiff, then fold the yolk mixture and whites together. Transfer to a buttered 7 x 10-inch shallow casserole and arrange the banana slices on top. Bake at 350 degrees for 20 minutes, or until lightly browned. Sprinkle with parsley and serve from the casserole.",352,17.3,10.6,26.5,2,754,2.5,704,34.6,21.2,53,4,1507,5,American,Breakfast or Brunch,"Skillet, Oven","https://source.unsplash.com/400x300/?banana+omelet,food",www.cookbooks.com/Recipe-Details.aspx?id=94099,"Keep, reduce butter and season more with herbs or spices.","Original source content appears truncated. Title standardized from Omelette to Omelet, spelling corrected, and prep time adjusted to reflect the baking step."
French Toast and Sauce,4,25,"4 eggs, beaten; 1/2 cup milk; 1/2 cup frozen lemonade, thawed; 1/4 tsp salt","Whisk eggs, milk, and salt for the French toast mixture. Thawed lemonade appears to be part of the sauce or topping. Full preparation steps are missing from the source preview.",122,8.3,5.8,7.2,2,264,2.3,489,33.2,23.3,28.6,8,1054,9.4,American,Breakfast,Stovetop,"https://source.unsplash.com/400x300/?french+toast+and+sauce,food",www.cookbooks.com/Recipe-Details.aspx?id=132867,Lower sodium by reducing packaged seasonings and using fresh flavorings.,Parsed from source preview. Original steps were missing. Cuisine adjusted from Mediterranean to American because the visible ingredients do not support Mediterranean classification.
Victorian Baked French Toast,8,60,1 cup brown sugar; 1/3 cup butter; 2 tbsp light corn syrup,"Cook brown sugar, butter, and corn syrup in a small saucepan until the butter melts and the mixture is smooth. Remaining bread, custard, assembly, and baking steps are missing from the source preview.",217,3.2,29.9,9.8,3,151,26.3,1738,25.7,239.1,78.5,24,1212,210.5,American,Breakfast or Brunch,"Saucepan, Oven","https://source.unsplash.com/400x300/?victorian+baked+french+toast,food",www.cookbooks.com/Recipe-Details.aspx?id=908190,Cut added sugar sharply and use less syrup if possible.,Parsed from source preview. This row is clearly incomplete and appears to show only the topping or syrup base.
Blueberry Breakfast Bread,12,70,2 cups sifted all-purpose flour; 1 cup sugar; 1 1/2 tsp baking powder; 1/2 tsp baking soda; blueberries and wet ingredients not shown,"Combine dry ingredients, then add wet ingredients and blueberries. Pour into a loaf pan and bake until done. Exact instructions are missing from the source preview.",168,2.8,33,2.9,0.9,84,15.7,2019,33.7,396.3,35.2,10.7,1012,188.8,American,Breakfast or Brunch,Oven,"https://source.unsplash.com/400x300/?blueberry+breakfast+bread,food",www.cookbooks.com/Recipe-Details.aspx?id=695719,Reduce sugar and consider using part whole wheat flour.,Parsed from source preview. Original steps were missing and could only be reconstructed at a high level.
Breakfast Casserole,8,60,"6 oz long grain and wild rice; 1 lb ground beef or turkey; 1 large onion, chopped","Brown meat and onion, then drain fat. Combine with cooked rice and remaining casserole ingredients, then bake. Full ingredient list and final steps are missing from the source preview.",260,12.9,21.3,13.3,0.9,141,1.3,2082,103.2,170.2,106.5,7.6,1126,10.8,American,Breakfast or Brunch,"Skillet, Oven","https://source.unsplash.com/400x300/?breakfast+casserole,food",www.cookbooks.com/Recipe-Details.aspx?id=843545,"Swap processed meat for lean turkey, chicken, or beans. Add more vegetables where possible.",Parsed from source preview. Title cleaned by removing '(Serves 8)' because serving size already has its own field.
Breakfast Casserole,12,70,"6 slices white bread, crusts removed; 1/2 stick margarine; sausage, amount not shown","Cook sausage well and drain. Melt margarine in a 9 x 13-inch Pyrex dish. Add bread and remaining ingredients, then bake. Exact amounts and full steps are missing from the source preview.",95,1.9,11.5,4.7,0.7,127,3,1144,22.5,137.7,56.9,7.8,1520,35.4,American,Breakfast or Brunch,"Skillet, Oven","https://source.unsplash.com/400x300/?breakfast+casserole,food",www.cookbooks.com/Recipe-Details.aspx?id=996450,"Use whole grain bread, less added fat, and leaner sausage.",Parsed from source preview. This row is incomplete and likely missing several ingredients.
Jim's Breakfast Delight,4,25,"1/4 cup flour; 1/2 tsp baking powder; 1/4 tsp salt; 6 eggs, beaten",Stir together the dry ingredients. Add the remaining ingredients and mix well. Final cooking method is missing from the source preview.,164,10.8,9.8,8.7,0.5,282,1.2,656,43.3,39,34.9,1.9,1127,4.6,American,Breakfast,Basic Kitchen Tools,"https://source.unsplash.com/400x300/?jim's+breakfast+delight,food",www.cookbooks.com/Recipe-Details.aspx?id=812092,"Lower sodium by reducing packaged seasonings and using herbs, garlic, and citrus.",Parsed from source preview. Title punctuation and capitalization cleaned.
Breakfast on a Bagel,4,15,"2 bagels (2 1/2 oz each), split and toasted; 4 slices Canadian bacon (1 oz each); remaining toppings not shown",Place bagel halves on a baking sheet. Top with remaining ingredients. Warm until heated through. Exact toppings and bake time are missing from the source preview.,189,11,11.3,10.6,4,396,5,756,43.9,45.2,42.3,16,1584,20,American,Breakfast,"Toaster, Oven","https://source.unsplash.com/400x300/?breakfast+on+a+bagel,food",www.cookbooks.com/Recipe-Details.aspx?id=108522,"Swap processed meat for lean turkey, chicken, or beans.","Parsed from source preview. Likely missing cheese, egg, or both in the preview."
Breakfast Burritos,4,15,"1/2 lb mild sausage, cooked; 7 eggs; 1 oz diced tomatoes; 1/2 oz minced onion; tortillas, amount not shown","Beat eggs in a separate bowl. Mix other ingredients. Cook eggs and combine with sausage, tomatoes, and onion. Spoon into tortillas and roll into burritos. Final assembly details are missing from the source preview.",339,19.9,12.3,22.6,4,577,2.1,1358,79.7,49.2,90.2,16,2309,8.6,Mexican-American,Breakfast,Skillet,"https://source.unsplash.com/400x300/?breakfast+burritos,food",www.cookbooks.com/Recipe-Details.aspx?id=904689,"Swap processed meat for lean turkey, chicken, or beans.",Parsed from source preview. Tortillas were implied by the title but not shown in the listed ingredients preview.
Stuffed French Toast,12,720,"8 slices bread, cubed; 2 packages (8 oz each) cream cheese, cubed; 10 to 12 eggs; 2 cups milk","Mix together and cover dish with plastic overnight. Bake before serving. Exact layering, sweetener, and baking details are missing from the source preview.",259,9.8,17.4,17.1,0.8,295,6.7,3106,117.9,208.8,205.1,9.5,3543,79.9,American,Breakfast or Brunch,"Oven, Refrigeration","https://source.unsplash.com/400x300/?stuffed+french+toast,food",www.cookbooks.com/Recipe-Details.aspx?id=992665,"Use reduced-fat dairy or smaller amounts, and add protein or fruit for balance.",Parsed from source preview. Long prep time preserved because the recipe is clearly intended to rest overnight.
Bacon and Egg Breakfast Bake,8,60,"4 oz. fully cooked Canadian bacon or ham, cut into small cubes; 1/2 cup finely chopped Muenster, Cheddar, or Monterey Jack cheese; 4 eggs; 1 1/2 cups skim milk; 1/2 tsp pepper","Preheat oven to 450 degrees. Spread the bacon in the bottom of a 9-inch pie plate. Sprinkle with cheese. Beat the eggs with milk and pepper and pour over the cheese. Bake for 15 minutes. Reduce the heat to 350 degrees and bake 10 to 15 minutes longer, until browned and firm in the center. Cool 10 minutes, then cut into wedges.",157,8.8,8.8,9.3,3,312,4,1260,70.5,70.4,74.5,24,2494,32,American,Breakfast,Oven,"https://source.unsplash.com/400x300/?bacon+and+egg+breakfast,food",www.cookbooks.com/Recipe-Details.aspx?id=1074547,Reduce processed meat or replace it with a leaner option or extra vegetables.,Parsed from source preview. Meal type corrected from Dessert.
