Recipe,Dairy_Free,Egg_Free,Gluten_Free,Keto,Low_Carb,Low_Fat,Low_Salt,Low_Sugar,No Seafood,Paleo,Soy_Free,Vegan,Vegetarian,Net Carbs (g),Notes
Monkey Bread,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,26.6,Monkey Bread (Lightened); Estimated net carbs from inferred nutrition
Monkey Bread,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,18.6,Monkey Bread (Lightened); Estimated net carbs from inferred nutrition
Monkey Bread,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,32.5,Monkey Bread (Lightened); Estimated net carbs from inferred nutrition
Apricot Dessert,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,32.6,Apricot Dessert (Lightened); Estimated net carbs from inferred nutrition
Banana Bread,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,28.5,Banana Bread (Lightened); Estimated net carbs from inferred nutrition
Belly Buttons,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,21,Belly Buttons (Lightened); Estimated net carbs from inferred nutrition
Blackberry Pie,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,24.4,Blackberry Pie (Lightened); Estimated net carbs from inferred nutrition
Breakfast Rolls,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,31,Breakfast Rolls (Lightened); Estimated net carbs from inferred nutrition
Carrot Cake,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,46.8,Carrot Cake (Lightened); Estimated net carbs from inferred nutrition
Cherry Pizza,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,43.5,Cherry Pizza (Lightened); Estimated net carbs from inferred nutrition
Cherry Salad,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,44.1,Cherry Salad (Lightened); Estimated net carbs from inferred nutrition
Chocolate Stuff,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,31,"Chocolate ""Stuff"" (Lightened); Estimated net carbs from inferred nutrition"
Chocolate Covered Cherries,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,26.2,Chocolate Covered Cherries (Lightened); Estimated net carbs from inferred nutrition
Chocolate Frango Mints,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,18.4,Chocolate Frango Mints (Lightened); Estimated net carbs from inferred nutrition
Crystal's Cherry Delight,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,14.9,Crystal'S Cherry Delight (Lightened); Estimated net carbs from inferred nutrition
