Recipe,Dairy_Free,Egg_Free,Gluten_Free,Keto,Low_Carb,Low_Fat,Low_Salt,Low_Sugar,No Seafood,Paleo,Soy_Free,Vegan,Vegetarian,Net Carbs (g),Notes
Tater Tot Casserole,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,8,Tater Tot Casserole (Lightened); Estimated net carbs from inferred nutrition
Casserole Italiano,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,43.6,Casserole Italiano; Estimated net carbs from inferred nutrition
Cheeseburger Crescent Bake,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,7.8,Cheeseburger Crescent Bake(1 Hour); Estimated net carbs from inferred nutrition
Cheeseburger Loaf,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,17.1,Cheeseburger Loaf; Estimated net carbs from inferred nutrition
Chicken and Tortilla Casserole,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,12.8,Chicken And Tortilla Casserole; Estimated net carbs from inferred nutrition
Hobo Dinner,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,21.1,Hobo Dinner; Estimated net carbs from inferred nutrition
Hot Taco Rice,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,14.7,Hot Taco Rice; Estimated net carbs from inferred nutrition
Jiffy Beef Stroganoff,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,46.4,Jiffy Beef Stroganoff; Estimated net carbs from inferred nutrition
Lasagne,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,28,Lasagne; Estimated net carbs from inferred nutrition
Luau,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,43.1,Luau; Estimated net carbs from inferred nutrition
Meat Loaf,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,17.9,Meat Loaf; Estimated net carbs from inferred nutrition
Spaghetti Casserole,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,12.8,Spaghetti Casserole (Lightened); Estimated net carbs from inferred nutrition
