Recipe,Dairy_Free,Egg_Free,Gluten_Free,Keto,Low_Carb,Low_Fat,Low_Salt,Low_Sugar,No Seafood,Paleo,Soy_Free,Vegan,Vegetarian,Net Carbs (g),Notes
Taffy Apple Salad,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,10.4,Taffy Apple Salad (Lightened); Estimated net carbs from inferred nutrition
Mayonnaise,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,2.6,Mayonnaise; Estimated net carbs from inferred nutrition
Zucchini Bread,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,52.8,Zucchini Bread (Lightened); Estimated net carbs from inferred nutrition
Pumpkin Bread,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,28.8,Pumpkin Bread (Lightened); Estimated net carbs from inferred nutrition
Apple Salad,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,4.8,Apple Salad (Lightened); Estimated net carbs from inferred nutrition
Vegetable Spread,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,2.6,Vegetable Spread (Lightened); Estimated net carbs from inferred nutrition
Carrot Coins (Microwave),No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,11,Carrot Coins(Microwave) (Lightened); Estimated net carbs from inferred nutrition
Spiced Fruit Salad,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,17.6,Spiced Fruit Salad (Lightened); Estimated net carbs from inferred nutrition
Apricot Salad,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,28.9,Apricot Salad (Lightened); Estimated net carbs from inferred nutrition
Beer Bread,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,36.7,Beer Bread (Lightened); Estimated net carbs from inferred nutrition
Mom's 1000 Island Dressing,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,3,Mom'S 1000 Island Dressing (Lightened); Estimated net carbs from inferred nutrition
Pink Salad,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,21.1,Pink Salad (Lightened); Estimated net carbs from inferred nutrition
Beer Bread,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,31.2,Beer Bread (Lightened); Estimated net carbs from inferred nutrition
Raw Apple Bread,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,32.1,Raw Apple Bread (Lightened); Estimated net carbs from inferred nutrition
Swedish Rye Bread,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,30.6,Swedish Rye Bread (Lightened); Estimated net carbs from inferred nutrition
Strawberry Bread,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,17.8,Strawberry Bread (Lightened); Estimated net carbs from inferred nutrition
Zucchini Fruit Bread (Sugar-Free),No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,32.6,Zucchini Fruit Bread(Sugar-Free) (Lightened); Estimated net carbs from inferred nutrition
Banana Nut Bread,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,17.8,Banana Nut Bread (Lightened); Estimated net carbs from inferred nutrition
Taco Sauce,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,9.4,Taco Sauce (Lightened); Estimated net carbs from inferred nutrition
Coca-Cola Salad,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,11.4,Coca Cola Salad (Lightened); Estimated net carbs from inferred nutrition
