Recipe,Dairy_Free,Egg_Free,Gluten_Free,Keto,Low_Carb,Low_Fat,Low_Salt,Low_Sugar,No Seafood,Paleo,Soy_Free,Vegan,Vegetarian,Net Carbs (g),Notes
Log Cabin Toast,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,24.1,Log Cabin Toast; Estimated net carbs from inferred nutrition
Bacon Roll-Ups,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,19.9,Bacon Roll-Ups (Lightened); Estimated net carbs from inferred nutrition
Pizza Dippers,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,4.5,Pizza Dippers (Lightened); Estimated net carbs from inferred nutrition
Puppy Chow,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,40.1,Puppy Chow (Lightened); Estimated net carbs from inferred nutrition
Oyster Cracker Snack,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,21,Oyster Cracker Snack (Lightened); Estimated net carbs from inferred nutrition
Fried Sweet Potato Strips,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,20,Fried Sweet Potato Strips (Lightened); Estimated net carbs from inferred nutrition
Sausage Balls,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,18,Sausage Balls (Lightened); Estimated net carbs from inferred nutrition
Pretzel Sparklers,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,20,Pretzel Sparklers (Lightened); Estimated net carbs from inferred nutrition
Party Mix,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,13.3,Party Mix; Diet row added during review (inferred from ingredients)
Animal Crackers,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,23.3,Animal Crackers; Diet row added during review (inferred from ingredients)
Chex Muddy Buddies,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,74.8,Chex Muddy Buddies; Diet row added during review (inferred from ingredients)
Olives Puff Appetizers,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,4.6,Olives Puff Appetizers; Diet row added during review (inferred from ingredients)
Cheese Patties with Pecans,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,21.8,Cheese Patties with Pecans; Diet row added during review (inferred from ingredients)
Eva's Caramel Corn,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,62.5,Eva's Caramel Corn; Diet row added during review (inferred from ingredients)
Party Mix,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,13.3,Party Mix (variant 2); Diet row added during review
