Recipe Title,Serving Size,Total Preparation Time (min),Ingredients,Steps,Total Calories (cal) Per Serving,Protein (g) Per Serving,Carbohydrates (g) Per Serving,Fat (g) Per Serving,Fiber (g) Per Serving,Sodium (mg) Per Serving,Sugar (g) Per Serving,Total Calories (cal),Total Protein (g),Total Carbohydrates (g),Total Fat (g),Total Fiber (g),Total Sodium (mg),Total Sugar (g),Cuisine Tags,Meal Type Tags,Equipment Tags,Photo URL,Source URL,Healthier Changes,Data Notes
Log Cabin Toast,4,70,1/4 cup sugar; 2 tsp cinnamon; 2 slices white or whole wheat bread; soft margarine or butter,Mix the sugar and cinnamon in a small cup. Toast the bread. Spread with soft margarine or butter. Sprinkle with the cinnamon-sugar mixture. Cut each slice into 4 strips. Arrange the strips like stacked logs to make a log cabin shape.,134,2.4,24.9,3.1,0.8,133,13.7,538,9.5,99.6,12.5,3.4,531,54.7,American,Snack or Lunch,Basic Kitchen Tools,"https://source.unsplash.com/400x300/?log+cabin+toast,food",www.cookbooks.com/Recipe-Details.aspx?id=595265,Reduce butter and added sugar where possible,Original source content appears truncated. Step text cleaned by removing novelty wording that was not needed for preparation.
Party Mix,12,25,2 cups Cheerios; 2 cups Corn Chex; 2 cups pretzel sticks; 1 1/2 cups mixed nuts,"Heat oven to 250 degrees. Mix cereals, pretzels, and nuts in a 13 x 9 x 2-inch pan. Remaining seasoning or coating steps are missing from the source preview.",95,3.2,14.3,3.1,1,179,1.9,1137,38.8,171.1,37.4,12.1,2153,22.7,American,Snack,Oven,"https://source.unsplash.com/400x300/?party+mix,food",www.cookbooks.com/Recipe-Details.aspx?id=221914,Lower sodium by reducing packaged seasonings and salty mix-ins.,"Parsed from source preview. Row appears incomplete, and serving size, prep time, and nutrition remain estimated from the available preview."
Party Mix,4,25,1 bottle Orville Redenbacher's buttery flavored popcorn oil; 1 package ranch dressing mix,Mix together popcorn oil and ranch dressing mix; set aside. Remaining mix ingredients and final coating or baking steps are missing from the source preview.,320,14,28,17,2,450,6,1280,56,112,68,8,1800,24,American,Snack,Basic Kitchen Tools,"https://source.unsplash.com/400x300/?party+mix,food",www.cookbooks.com/Recipe-Details.aspx?id=854533,Use less oil and reduce packaged seasoning when possible.,"Parsed from source preview. This appears to be only one part of a larger party mix recipe, and nutrition remains estimated."
Animal Crackers,4,25,1/2 cup oatmeal; 2 tsp honey; 1/4 plus 1/8 tsp salt; 3/4 cup flour; 1/4 tsp baking soda,"Grind oatmeal in a blender until fine. Add honey, salt, flour, and baking soda. Mix into a dough, roll out, cut into shapes, and bake. Final shaping and baking details are missing from the source preview.",219,8.8,24.7,9.5,1.4,248,4.6,877,35.2,98.8,37.8,5.5,991,18.3,American,Snack,"Blender, Oven","https://source.unsplash.com/400x300/?animal+crackers,food",www.cookbooks.com/Recipe-Details.aspx?id=736649,Use whole grain flour when possible and reduce salt slightly.,"Parsed from source preview. Meal type adjusted because this appears to be a snack recipe, not breakfast."
Chex Muddy Buddies,4,25,9 cups Chex cereal; 1 cup semisweet chocolate chips; 1/2 cup peanut butter; 1/4 cup margarine,"Melt chocolate chips, peanut butter, and margarine together. Pour over cereal and toss to coat. Powdered sugar or final coating steps are likely missing from the source preview.",674,14.5,82.3,37.5,7.5,670,29.1,2697,58.1,329.3,150,30.1,2681,116.3,American,Snack or Dessert,"Microwave or Stovetop, Mixing Bowl","https://source.unsplash.com/400x300/?chex+muddy+buddies,food",www.cookbooks.com/Recipe-Details.aspx?id=153794,Replace margarine with a smaller amount of butter and cut added sugar where possible.,Parsed from source preview. Meal type corrected because this is not a breakfast recipe.
Bacon Roll-Ups,12,70,"4 slices bread, buttered; bacon bits; shredded cheese","Sprinkle bacon bits on top of the bread, then sprinkle cheese on top of the bacon bits. Roll up or fold as directed, then bake until toasted and the cheese is melted.",133,2.7,20.9,4.5,1,155,8,1596,31.8,251.4,54.6,11.7,1854,96,American,Appetizer or Snack,"Basic Kitchen Tools, Oven","https://source.unsplash.com/400x300/?bacon+roll-ups,food",www.cookbooks.com/Recipe-Details.aspx?id=572725,Swap processed meat for leaner options and reduce sodium where possible.,Parsed from source preview. Final rolling and baking were inferred from the title because the visible preview is incomplete.
Pizza Dippers,16,15,10 oz. can Pillsbury refrigerated pizza crust; 2 tbsp margarine; 1 1/2 tsp pizza seasoning,Cut and shape the pizza crust into strips or wedges. Brush with melted margarine and sprinkle with pizza seasoning. Bake until golden and serve warm.,77,4,5,6.7,0.5,143,2,1234,64,80,106.7,8,2286,32,Italian,Appetizer or Snack,"Basic Kitchen Tools, Oven","https://source.unsplash.com/400x300/?pizza+dippers,food",www.cookbooks.com/Recipe-Details.aspx?id=291725,Replace margarine with a smaller amount of butter or olive oil.,Parsed from source preview. Steps were missing and reconstructed from the title and ingredients.
Olives Puff Appetizers,16,15,stuffed olives; 1/4 cup soft butter; 5 oz. Old English cheese spread; 3/4 cup flour,"Soften the butter. Add the cheese and blend well. Blend in the flour a little at a time. Wrap around olives or shape as directed, then bake until lightly browned.",89,3,4.8,6.5,0.2,103,0.4,1416,48,76.8,104.5,3.4,1646,6.9,American,Appetizer or Snack,"Blender, Oven","https://source.unsplash.com/400x300/?olives+puff+appetizers,food",www.cookbooks.com/Recipe-Details.aspx?id=1077453,Simplify the recipe and reduce added fat where possible.,Parsed from source preview. Title normalized from a corrupted label.
Puppy Chow,6,30,2 sticks butter; 3/4 cup smooth peanut butter; 1 (12 oz.) package chocolate chips,"Melt the butter, peanut butter, and chocolate chips together in a large saucepan. Let cool slightly. Toss with cereal and powdered sugar if using.",657,9.5,44.4,53.8,4.3,377,30.2,3940,57,266.6,322.8,25.6,2262,180.9,American,Snack or Dessert,Stovetop,"https://source.unsplash.com/400x300/?puppy+chow,food",www.cookbooks.com/Recipe-Details.aspx?id=161019,Cut added sugar and reduce butter if possible.,Parsed from source preview. Final cereal-coating step inferred because the visible ingredient list is incomplete.
Cheese Patties with Pecans,6,30,1/2 lb. sharp cheese; 1 stick butter; 1 1/2 cups flour; 3/4 tsp salt; pecans,"Grate the cheese and mix with softened butter. Add flour, salt, and pecans. Shape into patties and bake until lightly browned.",250,4.6,23.1,14.7,1.3,372,8,1499,27.9,138.8,88.3,7.5,2235,48,American,Appetizer or Snack,"Basic Kitchen Tools, Oven","https://source.unsplash.com/400x300/?cheese+patties+with+pecans,food",www.cookbooks.com/Recipe-Details.aspx?id=600664,Lower sodium if possible.,Parsed from source preview. Final shaping and baking inferred from the title.
