Recipe Title,Serving Size,Total Preparation Time (min),Ingredients,Steps,Total Calories (cal) Per Serving,Protein (g) Per Serving,Carbohydrates (g) Per Serving,Fat (g) Per Serving,Fiber (g) Per Serving,Sodium (mg) Per Serving,,,,,,,,,,,,,
Chickpea Veggie Wrap,2,10,"1 can chickpeas (drained);
1 cup diced bell pepper;
1 cup diced tomatoes;
1 cup shredded lettuce;
1 large corn tortilla;
1/4?tsp salt;
1?tsp olive oil","Warm the tortilla in a dry pan for 10?s each side.
In a bowl, mix chickpeas, pepper, tomatoes, and lettuce.
Add salt and drizzle olive oil, stir to coat.
Spoon the mix onto the center of the tortilla.
Fold the bottom up, then the sides, rolling tight.
Slice in half and serve.",216,8.3,75,3,9.6,250,,,,,,,,,,,,,
Tuna & Sweet-Pea Rice Bowl,2,15,"1 can tuna (drained);
1 cup cooked brown rice;
1 cup frozen peas (drained);
1 cup fresh spinach;
1 tsp olive oil;
1/4?tsp salt
","Heat oil in a skillet over medium heat.
Add spinach, cook until wilted.
Stir in rice, peas, and tuna, heat 2?min.
Season with salt, stir again.
Serve immediately.",180,17.3,27,3.4,7.5,200,,,,,,,,,,,,,
Lentil Soup,2,15,"1 cup cooked lentils;
1 cup diced carrots;
1 cup diced onion;
2 cups vegetable broth;
1 tsp olive oil;
1/2?tsp salt
","In a pot, warm oil for 1?min.
Add onion, cook until translucent.
Add carrots, cook 3?min.
Stir in lentils, broth, and salt.
Simmer 10?min until vegetables soften.
Ladle into bowls.
",123,5.8,20,2.9,8.4,150,,,,,,,,,,,,,
Chicken-Broccoli Stir-Fry,2,15,"5?oz diced chicken breast;
1 cup broccoli florets;
1 cup sliced onion;
1 tsp olive oil;
1/2?tsp salt
","Heat oil in a pan, add chicken, cook 5?min.
Add onion, cook 2?min.
Stir in broccoli, cook until crisp?tender.
Season with salt, stir, and serve.",120,13.2,8,2.8,6,180,,,,,,,,,,,,,
Black-Bean Chili,2,15,"1 cup canned black beans (drained);
1 cup canned tomatoes;
1 cup diced onion;
1 tsp olive oil;
1/4?tsp salt
","Warm oil in a pot for 1?min.
Add onion, cook 2?min.
Stir in beans, tomatoes, salt.
Simmer 8?min, stirring.
Serve hot.",106,4.8,17,2.9,11,250,,,,,,,,,,,,,
Egg & Spinach Sandwich,2,10,"2 eggs;
1 cup fresh spinach;
2 slices whole?grain bread;
1 tsp butter or oil;
1/4?tsp salt","Beat eggs with salt.
Scramble in butter?heated pan until set.
Add spinach, cook 1?min.
Toast bread.
Spread eggs on bread, make a sandwich.
Slice and enjoy.",255,13.2,48,4.3,4.3,350,,,,,,,,,,,,,
Turkey & Rice Bowl,2,15,"5?oz turkey breast (sliced);
1 cup cooked brown rice;
1 cup broccoli (steamed);
1 tsp olive oil;
1/4?tsp salt","Heat oil in a pan over medium heat.
Add turkey, cook 3?min.
Stir in rice, broccoli, salt.
Heat 2?min, flip once.
Divide into two bowls.",149,14.2,15,3.2,5.7,220,,,,,,,,,,,,,
Tofu Veggie Rice,2,10,"6?oz firm tofu (cubed);
1 cup cooked brown rice;
1 cup frozen mixed veggies (drained);
1 tsp olive oil;
1/4?tsp salt","Heat oil in a skillet.
Add tofu, cook until golden, about 4?min.
Stir in veggies, cook 2?min.
Add rice, salt, and stir 1?min.
Serve warm.",149,6.8,19,2.9,6.5,200,,,,,,,,,,,,,
Canned Salmon Avocado Wrap,2,15,"1 can salmon (drained);
½ avocado (sliced);
1 whole?grain tortilla;
1 cup lettuce;
1 tsp olive oil;
1/4?tsp salt","Warm tortilla for 10?s each side.
Spread salmon on tortilla.
Arrange avocado slices, lettuce.
Drizzle olive oil, sprinkle salt.
Fold sides, roll tight.
Slice into halves, serve.",254,15.1,50,8,6,150,,,,,,,,,,,,,
Mexican-Style Bean Tacos,2,15,1 cup canned black beans (drained); 2 large corn tortillas; 1/2 cup diced tomatoes; 1/4 cup chopped onions; 1/4 cup diced cucumber; 1 tsp olive oil; 1 tsp lime juice (optional); 1/2 tsp black pepper,"Heat the skillet over medium.
Add the olive oil and the chopped onion. Cook for 2?min until the onion is soft.
Stir in the diced tomato and cucumber, cook 1?min.
Add the drained black beans; season with salt, pepper, and lime juice. Stir until warm (??3?min).
Warm the corn tortillas in another pan or the microwave for 10?s each.
Spoon about half of the bean mixture onto each tortilla.
Fold the side in, then roll up.
Serve hot or let cool a minute before eating.
",350,12,58,11,6,300,,,,,,,,,,,,,
Tuna & Herb Pita,2,10,1 cup drained canned tuna; 1 small piece whole wheat pita; 1/4 cup diced tomato; 1/4 cup diced onion; 1/2 tsp olive oil; 1/2 tsp dried basil; 1/2 tsp dried oregano; 1 tsp red wine vinegar or apple cider vinegar; 1/2 tsp low-sodium soy sauce; 1 tsp lemon juice; salt and pepper to taste,"Warm pita in a dry pan 1?min.
Mix tuna, tomato, onion, basil, olive oil, salt, and pepper in a bowl.
Stuff the pita with the tuna mixture.
Fold and cut in half.",170,15,28,5,4,135,,,,,,,,,,,,,
