Recipe Title,Serving Size,Total Preparation Time (min),Ingredients,Steps,Total Calories (cal) Per Serving,Protein (g) Per Serving,Carbohydrates (g) Per Serving,Fat (g) Per Serving,Fiber (g) Per Serving,Sodium (mg) Per Serving,Sugar (g) Per Serving,Total Calories (cal),Total Protein (g),Total Carbohydrates (g),Total Fat (g),Total Fiber (g),Total Sodium (mg),Total Sugar (g),,,,,
Apple-Cinnamon Oat Cookies,10,15-20,1 cup rolled oats; 1/2 cup whole-wheat flour or all-purpose flour; 1/4 cup almond milk; 1 medium mashed banana; 1 medium apple (finely diced or grated); 2 Tbsp peanut butter; 1/2 tsp cinnamon; 1/2 tsp baking powder; pinch of salt,"Pre?heat oven to 350?°F (175?°C).
Mix oats, flour, baking powder, cinnamon, and a pinch of salt in a bowl.
In a separate bowl, combine banana, peanut butter, and almond milk.
Stir the wet mixture into the dry ingredients until a dough forms.
Drop spoonfuls of dough onto a parchment?lined tray.
Flatten each cookie lightly.
Bake for 10–12?min until golden.
Let cool for 5?min on a rack.
Divide into two portions.
Serve or store in an airtight container.",93,13,16,2,2,47,4,930,130,160,20,20,470,40,,,,,
Banana-Oat Bars,2,20-25,1 cup rolled oats; 1/4 cup all-purpose flour; 3 Tbsp peanut butter; 1 medium mashed banana; 1 Tbsp honey; 1/2 tsp cinnamon,"Pre?heat oven to 350?°F.
Mix oats, flour, and cinnamon.
Stir in peanut butter, banana, and honey until sticky.
Press mixture into a lined baking tin.
Bake 15?min until edges brown.
Cool, cut into 4 bars.
Store in a sealed box.",113,3,17,4,2,27,5,903,26,133,30,17,213,41,,,,,
Banana-Peanut-Butter Yogurt Parfait,2,5,"1 cup vanilla, non-fat Greek yogurt; 1 medium banana; 2 Tbsp peanut butter; 1/4 cup blueberries (fresh or frozen); 1 tsp honey","Slice the banana and set aside.
Spoon half the yogurt into a glass.
Drop a few blueberries on top.
Add a dollop of peanut butter, then the banana slices.
Repeat with the remaining yogurt.
Drizzle honey over everything.
Eat immediately, or chill for 15?min.",277,15,35,8,3,110,27,533,29,69,16,3,220,54,,,,,
Blueberry-Banana Smoothie,2,5,1 medium banana; 1/2 cup blueberries (fresh or frozen); 1/2 cup non-fat Greek yogurt; 3/4 cup almond milk; 1 tsp honey,"Put all ingredients in a blender or food processor.
Blend until smooth.
Pour into two glasses.
Sprinkle a pinch of cinnamon (optional).
Enjoy!",137,8,24,1,6,78,18,273,16,47,2,12,155,35,,,,,
Mixed Fruit Salad,2,5,1/2 medium apple (diced); 1/2 cup blueberries (fresh or frozen); 1/2 diced pears (canned and no-sugar-added) ; 1/4 cup yogurt (plain); 1 tsp honey,"Combine diced apples, blueberries, and pears in a bowl.
Stir in yogurt.
Drizzle honey.
Mix lightly.
Serve chilled.",93,2,17,2,3,16,14,186,3,34,4,6,31,27,,,,,
Peach-Cinnamon Rice Cake ,2,5,"2 pieces of plain rice cake; 1/2 cup sliced peaches (fresh or canned, no-sugar-added, and drained); 1 Tbsp peanut butter; 1/4 tsp cinnamon","Spread peanut butter on each rice cake.
Slice pear slices into thin slices. Arrange pear slices on top.
Sprinkle cinnamon.
Serve immediately.",102,3,14,5,1,66,5,204,6,28,9,2,132,9,,,,,
Strawberry-Banana Frozen Cups,2,180,1 medium sliced banana; 1/2 cup blueberries (fresh or frozen); 1/2 cup Greek yogurt (plain and nonfat); 1 tsp honey,"Blend banana, blueberries, yogurt, and honey until smooth in blender or food processor.
Pour the mixture into two small paper cups or silicone molds.
Freeze for at least 3?h.
Remove and serve.
Store leftovers at –20?°C.",123,8,23,0,2,23,18,246,15,46,0,4,45,35,,,,,
Yogurt-Berry Shortcake,4,20-25,1 cup all-purpose flour; 1 tsp baking powder; 1/4 cup almond milk (unsweetened); 2 Tbsp peanut butter; 1 cup Greek yogurt (plain and non-fat); 1/2 cup blueberries; 1 tsp honey; 1/8 tsp salt,"Pre?heat oven to 350?°F.
In a bowl, whisk flour, baking powder, and salt.
Stir almond milk and peanut butter into the dry mix until a batter forms.
Spoon batter into four greased muffin cups.
Bake for 12–14?min.
Remove and let cool 5?min.
Spread a thin layer of yogurt on each cup.
Top with blueberries and a drizzle of honey.
Serve warm or at room temperature.",221,12,32,5,2,258,6,883,46,128,19,8,1032,23,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
